1, a, north
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
1, c, west
1, c, north
1, d, north
1, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
3, e, west
2, e, west
1, e, west
1, e, south
1, d, south
1, c, south
1, c, east
2, c, east
2, c, south
2, b, south
2, b, west
1, b, west
1, b, south
1, a, south
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
3, c, north
3, d, north
3, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
1, c, west
1, c, north
1, d, north
1, e, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, south
3, a, south
3, a, east
4, a, east
5, a, east
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, south
3, a, south
3, a, east
4, a, east
5, a, east
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, south
3, a, south
3, a, east
4, a, east
5, a, east
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, south
3, a, south
3, a, east
4, a, east
5, a, east
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, south
3, a, south
3, a, east
4, a, east
5, a, east
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, south
3, a, south
3, a, east
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, south
3, a, south
3, a, east
4, a, east
5, a, east
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, south
3, a, south
3, a, east
4, a, east
5, a, east
1, a, north
1, a, east
2, a, east
2, a, north
2, b, north
2, b, east
3, b, east
3, b, south
3, a, south
3, a, east
4, a, east
5, a, east
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
2, b, south
2, b, east
2, b, north
2, c, north
2, d, north
2, d, east
2, d, south
2, c, south
2, c, east
3, c, east
3, c, north
3, d, north
3, d, east
4, d, east
5, d, east
2, b, west
2, b, south
2, b, east
3, b, east
4, b, east
5, b, east
5, b, north
5, c, north
5, d, north
5, e, north
2, b, south
2, b, east
2, b, north
2, c, north
2, d, north
2, e, north
2, e, east
3, e, east
4, e, east
5, e, east
5, e, north
5, e, east
5, e, south
5, d, south
5, c, south
5, b, south
5, a, south
5, a, west
4, a, west
3, a, west
5, e, north
5, e, east
5, e, south
5, d, south
5, c, south
5, b, south
5, a, south
5, a, west
4, a, west
3, a, west
5, e, north
5, e, east
5, e, south
5, d, south
5, c, south
5, b, south
5, a, south
5, a, west
4, a, west
3, a, west
3, a, north
3, b, north
3, b, west
2, b, west
2, b, south
2, a, south
2, a, west
1, a, west
5, e, north
5, e, east
5, e, south
5, d, south
5, c, south
5, b, south
5, a, south
5, a, west
4, a, west
3, a, west
3, a, north
3, b, north
3, b, west
2, b, west
2, b, south
2, a, south
2, a, west
1, a, west
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
1, a, north
1, b, north
1, b, east
2, b, east
2, b, north
2, c, north
2, c, west
2, c, south
2, c, east
3, c, east
4, c, east
5, c, east
5, c, north
5, d, north
5, e, north
